expname,mjd,mag,magerr,snr,filter,x,y,flux,dflux,peakval,peakfit,dpeak,chi/N,skyfit,skyval,major,minor,snrdet,snrlimit,ra,dec,zp,apfit,uJy,duJy,mag5sig,texp
02a58325o0036o,58325.25338305,>18.96,0.00,3.0,o,10110.80,9225.91,-6392.5,2237.0,14.0,-47.8,39.9,3.45,171.8,187.1,2.37,2.07,1.0,3.0,197.45034,-23.38147,22.185,-0.429,-56.315161427832386,47.00784395335799,18.45,30.0
02a58325o0050o,58325.26012865,>19.48,0.00,3.0,o,10165.60,9304.93,-5661.6,1429.8,107.0,-7.7,24.0,1.92,183.8,199.5,2.36,2.12,1.0,3.0,197.45034,-23.38147,22.179,-0.429,-9.302878188314443,28.995983963577483,18.55,30.0
02a58325o0067o,58325.26841435,>18.73,0.00,3.0,o,10183.00,9187.87,28777.3,2171.1,139.0,-20.5,35.4,1.88,186.9,161.1,2.39,2.20,1.0,3.0,197.45034,-23.38147,21.904,-0.536,-37.00438477200489,63.9002546794621,18.25,30.0
02a58329o0024o,58329.24551075,>19.44,0.00,3.0,o,8121.29,6772.23,-3717.5,1476.1,53.0,-102.3,17.3,4.67,155.7,163.3,2.80,2.55,1.0,3.0,197.45034,-23.38147,22.167,-0.397,-173.1619990232299,29.283505211162048,18.49,30.0
02a58329o0034o,58329.25017825,>19.73,0.00,3.0,o,8103.47,6733.88,-3025.0,912.1,187.0,-15.3,10.1,7.25,172.4,185.3,3.08,2.84,1.0,3.0,197.45034,-23.38147,22.091,-0.389,-33.77841231905991,22.29816760931406,18.73,30.0
02a58329o0048o,58329.25671585,20.06,0.48,1.80,o,8157.11,6811.66,1604.0,691.1,166.0,16.2,9.0,4.97,178.9,173.3,3.04,2.75,1.0,3.0,197.45034,-23.38147,22.081,-0.388,34.466726444385735,19.148181357992076,19.01,30.0
02a58329o0065o,58329.26465885,19.51,0.41,2.18,o,8175.78,6694.85,-457.2,752.3,177.0,18.1,8.3,3.42,175.5,177.3,3.19,2.92,1.0,3.0,197.45034,-23.38147,21.773,-0.385,56.82387609150934,26.057357544725274,18.67,30.0
02a58333o0019c,58333.24496595,>18.15,0.00,3.0,c,9850.50,6814.91,8611.0,3592.0,220.0,0.1,39.4,1.49,221.6,205.3,3.38,3.17,1.0,3.0,197.45034,-23.38147,22.216,-0.38,0.2390312638551586,94.17831795893248,17.68,30.0
02a58333o0025c,58333.24779035,>18.81,0.00,3.0,c,9832.21,6774.72,3044.3,1739.4,176.0,18.8,20.7,1.69,198.8,195.7,3.39,3.24,1.0,3.0,197.45034,-23.38147,22.204,-0.38,46.57805002205074,51.28540614130054,18.16,30.0
02a58333o0036c,58333.25315485,>19.84,0.00,3.0,c,9884.56,6850.73,-929.7,796.3,206.0,5.5,10.3,5.07,176.8,183.9,3.00,2.82,1.0,3.0,197.45034,-23.38147,22.186,-0.392,10.789760327224718,20.20627843098448,18.93,30.0
02a58333o0051c,58333.26045935,19.28,0.22,4.48,c,9901.67,6712.74,2033.2,513.9,210.0,33.6,7.5,5.86,185.1,181.4,3.09,2.88,1.0,3.0,197.45034,-23.38147,22.165,-0.386,70.30221198521525,15.692458032414118,19.13,30.0
