expname,mjd,mag,magerr,snr,filter,x,y,flux,dflux,peakval,peakfit,dpeak,chi/N,skyfit,skyval,major,minor,snrdet,snrlimit,ra,dec,zp,apfit,uJy,duJy,mag5sig,texp
02a58121o0932o,58121.62298605,>19.76,0.00,3.0,o,10344.90,3432.78,850.9,988.3,-243.0,-387.1,15.2,6.15,207.9,192.0,2.80,2.28,1.0,3.0,197.44875,-23.3838889,22.224,-0.435,-575.6980984150107,22.605556951454826,18.65,30.0
02a58121o0934o,58121.62390045,>19.71,0.00,3.0,o,623.60,3515.05,-579.0,1076.2,-126.0,-255.3,16.2,6.00,189.9,183.2,2.74,2.27,1.0,3.0,197.44875,-23.3838889,22.218,-0.44,-373.68527087506044,23.712108845185966,18.61,30.0
02a58121o0954o,58121.63304005,>19.70,0.00,3.0,o,547.70,3438.70,-610.8,1090.1,-21.0,-291.9,18.3,3.89,187.1,181.9,2.59,2.14,1.0,3.0,197.44875,-23.3838889,22.219,-0.447,-382.84799560958356,24.00177567542097,18.71,30.0
02a58121o0959o,58121.63534545,>19.82,0.00,3.0,o,10325.00,3553.17,217.2,1418.4,-21.0,-371.0,14.5,5.62,205.7,194.2,2.78,2.28,1.0,3.0,197.44875,-23.3838889,22.228,-0.441,-548.822992897273,21.449955248006624,18.7,30.0
02a58121o0961o,58121.63626895,>19.73,0.00,3.0,o,530.77,3556.29,-2651.8,1195.1,79.0,-167.2,15.3,4.62,177.0,183.0,2.81,2.31,1.0,3.0,197.44875,-23.3838889,22.224,-0.439,-253.76593224078366,23.221404086626737,18.66,30.0
02a58129o0896o,58129.60596815,>20.22,0.00,3.0,o,10294.10,1127.85,-3448.5,619.2,161.0,-53.4,10.1,8.77,165.8,182.3,2.75,2.25,1.0,3.0,197.44875,-23.3838889,22.211,-0.457,-79.4941581066364,15.035411926536101,19.36,30.0
02a58129o0913o,58129.61378815,>20.19,0.00,3.0,o,10310.10,1169.64,-3421.7,629.9,258.0,-17.5,10.5,9.85,168.3,183.4,2.75,2.24,1.0,3.0,197.44875,-23.3838889,22.217,-0.432,-25.205627056557603,15.123376233934561,19.36,30.0
02a58129o0920o,58129.61699745,18.83,0.13,7.73,o,467.10,1137.42,-2566.5,585.7,462.0,70.3,9.1,12.30,160.0,182.7,2.81,2.30,1.0,3.0,197.44875,-23.3838889,22.216,-0.432,106.33303900611983,13.764305191403848,19.29,30.0
02a58129o0930o,58129.62159035,18.78,0.13,7.70,o,10254.20,1091.58,-3050.1,760.1,348.0,78.5,10.2,9.13,166.9,185.8,2.73,2.22,1.0,3.0,197.44875,-23.3838889,22.219,-0.435,111.34328326037208,14.46753489497828,19.37,30.0
02a58129o0937o,58129.62482125,>20.27,0.00,3.0,o,484.28,1178.10,-3377.8,659.4,328.0,6.2,8.7,11.33,164.4,181.0,2.88,2.40,1.0,3.0,197.44875,-23.3838889,22.218,-0.418,9.882667053382804,13.86761344587587,19.3,30.0
02a58129o0947o,58129.63088575,>20.35,0.00,3.0,o,10232.10,1210.65,-3597.3,751.2,239.0,-43.4,10.2,10.51,167.9,185.5,2.59,2.12,1.0,3.0,197.44875,-23.3838889,22.221,-0.443,-56.07949573351953,13.179973651656663,19.44,30.0
02a58129o0954o,58129.63411365,>20.42,0.00,3.0,o,426.37,1101.64,-3896.8,552.8,165.0,-116.1,9.8,9.56,170.5,182.4,2.57,2.08,1.0,3.0,197.44875,-23.3838889,22.218,-0.444,-146.5910390984308,12.373748347671162,19.43,30.0
02a58129o0971o,58129.64193745,>20.39,0.00,3.0,o,406.31,1220.66,-4594.7,584.4,86.0,-39.9,9.2,6.93,161.9,182.4,2.43,2.43,1.0,3.0,197.44875,-23.3838889,22.225,-0.435,-54.835800553709156,12.64384373669484,19.39,30.0
02a58149o0659o,58149.50956745,14.10,0.34,2.75,o,3005.02,9935.44,-78591.8,12315.0,609.0,443.8,161.4,1.28,235.2,401.8,3.13,2.66,1.0,3.0,197.44875,-23.3838889,19.739,-0.41,8296.444597066264,3017.2288372386097,14.8,30.0
02a58149o0672o,58149.51589685,>17.86,0.00,3.0,o,2985.75,10054.00,-3594.6,1520.1,-52.0,-219.4,20.5,1.37,136.6,137.3,2.97,2.48,1.0,3.0,197.44875,-23.3838889,20.807,-0.426,-1376.9668936554892,128.65916736525764,16.89,30.0
02a58149o0674o,58149.51690935,>18.47,0.00,3.0,o,1668.69,303.21,-3864.3,1349.9,20.0,-153.4,14.4,1.36,154.0,158.5,3.14,2.59,1.0,3.0,197.44875,-23.3838889,21.141,-0.418,-775.7709577518948,72.82334935871762,17.31,30.0
02a58153o0928o,58153.63264935,>15.91,0.00,3.0,o,6695.20,8317.00,-193118.8,26380.5,-700.0,-287.2,400.6,1.03,-117.7,554.8,2.43,2.30,1.0,3.0,197.44875,-23.3838889,21.789,0,-373.9360106747419,521.5834466445041,16.42,30.0
02a58161o0841c,58161.59511355,>20.78,0.00,3.0,c,7105.96,9172.15,-830.0,367.9,78.0,-21.6,6.5,14.49,178.3,181.8,2.49,2.49,1.0,3.0,197.44875,-23.3838889,22.289,-0.441,-29.548210933412133,8.891822734591614,19.76,30.0
02a58161o0842c,58161.59557035,>20.88,0.00,3.0,c,7088.13,9133.18,-1535.6,396.9,340.0,-216.1,5.9,31.03,173.7,181.6,2.61,2.40,1.0,3.0,197.44875,-23.3838889,22.295,-0.437,-295.92745638204775,8.079463177483026,19.75,30.0
02a58161o0869c,58161.60788675,>20.97,0.00,3.0,c,7141.27,9213.81,-1336.2,405.5,191.0,-190.5,5.5,19.15,179.0,181.6,2.58,2.38,1.0,3.0,197.44875,-23.3838889,22.292,-0.433,-255.48793041349825,7.376291954195487,19.76,30.0
02a58161o0897c,58161.62066185,>20.86,0.00,3.0,c,7178.02,9096.00,642.6,426.9,71.0,-93.3,6.0,21.63,179.9,181.3,2.59,2.40,1.0,3.0,197.44875,-23.3838889,22.286,-0.435,-127.60608801316022,8.20617929345082,19.72,30.0
02a58173o0243o,58173.50063005,>17.33,0.00,3.0,o,3466.41,2834.42,-808.2,463.1,175.0,-52.4,7.7,2.25,182.4,181.0,2.47,2.05,1.0,3.0,197.44875,-23.3838889,18.812,-0.452,-1454.3229131804571,213.70775632613592,16.11,30.0
02a58173o0263o,58173.50975745,>15.59,0.00,3.0,o,3482.35,2874.00,274.9,1147.0,161.0,-31.4,16.0,0.96,184.5,184.6,2.48,2.07,1.0,3.0,197.44875,-23.3838889,17.879,-0.448,-2078.8847797730123,1059.304346381153,15.25,30.0
02a58173o0290o,58173.52208065,>17.18,0.00,3.0,o,3407.63,2895.03,-779.6,549.1,179.0,-111.9,8.6,5.94,177.1,184.1,2.39,1.99,1.0,3.0,197.44875,-23.3838889,18.710,-0.45,-3198.5990886337113,245.82620341599562,16.04,30.0
02a58173o0295o,58173.52436295,17.50,0.21,4.69,o,3425.09,2778.72,775.4,497.1,277.0,40.8,8.7,2.10,184.2,186.8,2.41,1.99,1.0,3.0,197.44875,-23.3838889,19.983,-0.447,363.08560188068896,77.42266510691161,17.35,30.0
02a58193o0522c,58193.47218405,>20.81,0.00,3.0,c,9917.58,586.43,-483.3,564.6,166.0,-88.1,6.6,9.76,173.8,181.3,2.58,2.32,1.0,3.0,197.44875,-23.3838889,22.301,-0.427,-113.59581834362254,8.51001590315447,19.76,30.0
02a58193o0524c,58193.47309785,19.19,0.14,7.24,c,9935.06,625.99,-485.5,540.3,274.0,60.1,8.3,10.86,175.4,181.7,2.56,2.30,1.0,3.0,197.44875,-23.3838889,22.299,-0.429,76.51049621279812,10.566341407091919,19.76,30.0
02a58193o0526c,58193.47401235,19.69,0.19,5.11,c,1474.22,10363.50,-1781.5,484.9,441.0,37.8,7.4,27.48,160.0,182.3,2.60,2.32,1.0,3.0,197.44875,-23.3838889,22.316,-0.424,48.30942607073188,9.45740087098984,19.76,30.0
02a58193o0528c,58193.47492515,>20.79,0.00,3.0,c,1456.24,10326.10,-2448.0,463.7,327.0,-22.3,6.9,27.92,164.2,183.0,2.57,2.30,1.0,3.0,197.44875,-23.3838889,22.314,-0.426,-28.031385734051476,8.673388410984538,19.78,30.0
02a58193o0529c,58193.47538135,>21.37,0.00,3.0,c,81.74,581.04,-476.5,494.1,-234.0,-506.0,3.9,53.79,175.2,181.5,2.62,2.32,1.0,3.0,197.44875,-23.3838889,22.305,-0.426,-659.5056770634488,5.083146522821048,19.76,30.0
02a58193o0543c,58193.48177855,>20.70,0.00,3.0,c,9881.99,547.34,-2046.7,410.0,244.0,-34.4,7.3,10.13,174.2,181.9,2.58,2.31,1.0,3.0,197.44875,-23.3838889,22.301,-0.429,-44.24547620715639,9.389301636983769,19.75,30.0
02a58193o0546c,58193.48314825,19.88,0.23,4.34,c,1419.40,10287.40,-2931.5,370.5,329.0,31.7,7.3,17.12,162.2,182.7,2.58,2.33,1.0,3.0,197.44875,-23.3838889,22.316,-0.425,40.412306158298954,9.306303941816479,19.79,30.0
02a58193o0547c,58193.48360505,>22.19,0.00,3.0,c,43.88,541.84,-12410.8,792.3,-629.0,-727.8,1.9,273.48,-56.1,183.2,2.57,2.28,1.0,3.0,197.44875,-23.3838889,22.308,-0.428,-913.6056292796094,2.3850655339808435,19.78,30.0
02a58193o0550c,58193.48497335,20.62,0.45,1.95,c,9861.03,667.72,-1926.5,417.7,375.0,15.8,8.1,7.82,173.9,182.1,2.60,2.31,1.0,3.0,197.44875,-23.3838889,22.302,-0.427,20.423076311132586,10.470058108871767,19.77,30.0
02a58193o0564c,58193.49137365,>20.94,0.00,3.0,c,96.00,621.70,1363.0,398.0,275.0,-250.6,6.0,84.35,147.0,182.6,2.57,2.29,1.0,3.0,197.44875,-23.3838889,22.309,-0.427,-315.3758380712772,7.5508979586099905,19.78,30.0
02a58193o0584c,58193.50050065,>20.27,0.00,3.0,c,21.48,659.69,-18556.1,1029.5,-523.0,-890.9,11.2,98.84,118.0,180.4,2.57,2.28,1.0,3.0,197.44875,-23.3838889,22.310,-0.428,-1116.2865051108085,14.033459262814072,19.79,30.0
02a58193o0585c,58193.50095725,18.86,0.10,10.31,c,1394.25,10406.70,1874.8,533.9,666.0,83.5,8.1,27.93,175.6,183.4,2.55,2.28,1.0,3.0,197.44875,-23.3838889,22.315,-0.429,103.42850522571558,10.03318433926103,19.76,30.0
02a58197o0119c,58197.47337215,>18.91,0.00,3.0,c,3043.56,579.76,1149.6,496.6,213.0,-0.8,7.5,1.88,185.5,181.9,2.77,2.50,1.0,3.0,197.44875,-23.3838889,20.696,-0.415,-5.175931379720868,48.524356684883124,18.03,30.0
02a58197o0120c,58197.47382865,>19.17,0.00,3.0,c,4318.50,10327.60,-3613.1,581.0,95.0,-69.0,7.8,2.45,167.6,178.4,2.89,2.53,1.0,3.0,197.44875,-23.3838889,21.063,-0.417,-336.7799281506086,38.070774486590544,18.31,30.0
02a58225o0414c,58225.41447765,>18.88,0.00,3.0,c,6539.75,88.44,4279.0,797.4,149.0,-44.5,9.9,1.65,200.0,192.1,2.79,2.58,1.0,3.0,197.44875,-23.3838889,21.015,-0.407,-221.44336155161,49.26492762608851,18.21,30.0
02a58225o0415c,58225.41493445,>19.06,0.00,3.0,c,7809.48,9838.39,1183.6,477.0,225.0,-12.0,5.8,2.11,189.3,186.2,2.86,2.67,1.0,3.0,197.44875,-23.3838889,20.674,-0.397,-85.92851091574327,41.53211360927591,17.88,30.0
02a58225o0417c,58225.41584715,>19.14,0.00,3.0,c,6522.39,50.40,-1884.2,880.0,238.0,-6.3,9.7,3.14,185.3,192.2,2.85,2.68,1.0,3.0,197.44875,-23.3838889,21.315,-0.395,-24.957377537819006,38.42643843124513,18.54,30.0
02a58225o0444c,58225.42857705,>20.14,0.00,3.0,c,7848.23,9876.17,1488.1,535.5,216.0,-12.3,5.9,3.41,186.5,184.2,3.06,2.89,1.0,3.0,197.44875,-23.3838889,21.933,-0.376,-31.376400940930697,15.050468744023668,19.09,30.0
02a58225o0445c,58225.42903275,>20.26,0.00,3.0,c,6579.20,125.70,1306.6,496.9,209.0,-73.3,6.0,4.04,188.4,183.5,2.95,2.76,1.0,3.0,197.44875,-23.3838889,21.986,-0.39,-166.0786545975186,13.594432845635906,19.2,30.0
02a58225o0449c,58225.43085705,>20.41,0.00,3.0,c,7794.04,9800.25,4.4,506.3,56.0,-63.3,6.0,6.83,181.6,182.7,2.86,2.68,1.0,3.0,197.44875,-23.3838889,22.068,-0.391,-125.30929379939175,11.877658180037134,19.3,30.0
02a58225o0466c,58225.43921255,>16.52,0.00,3.0,c,6598.02,8.26,-98028.5,38449.7,-1611.0,-1866.0,134.7,0.23,-319.7,42.9,2.89,2.72,1.0,3.0,197.44875,-23.3838889,21.579,-0.382,-5894.637891594518,425.5132497308583,18.78,30.0
02a58225o0468c,58225.44012575,19.19,0.23,4.15,c,7866.92,9758.69,1581.0,509.9,304.0,29.5,7.1,6.57,185.1,186.4,2.81,2.64,1.0,3.0,197.44875,-23.3838889,21.741,-0.395,76.66744812900916,18.452165481897122,19.01,30.0
02a58229o0297o,58229.40217035,>19.43,0.00,3.0,o,6663.95,7713.21,-446.3,628.2,324.0,8.4,9.6,4.50,184.7,190.9,2.53,2.34,1.0,3.0,197.44875,-23.3838889,21.318,-0.423,26.39334349648723,30.163821138842547,18.38,30.0
02a58229o0318o,58229.41235265,>18.51,0.00,3.0,o,6650.10,7675.67,-1345.6,550.8,81.0,-166.4,6.1,2.41,191.6,191.7,2.51,2.51,1.0,3.0,197.44875,-23.3838889,19.967,-0.417,-1920.3461108085564,70.39730334093865,16.98,30.0
02a58229o0351o,58229.42744115,19.12,0.34,2.69,o,6724.67,7753.53,22.8,685.4,241.0,24.2,9.0,4.08,186.6,192.2,2.47,2.30,1.0,3.0,197.44875,-23.3838889,21.201,-0.424,81.34275932447073,30.251439418191595,18.31,30.0
02a58229o0367o,58229.43474105,>18.85,0.00,3.0,o,6741.89,7639.53,-1438.5,653.1,-10.0,-132.4,7.7,2.44,186.3,188.9,2.38,2.21,1.0,3.0,197.44875,-23.3838889,20.366,-0.412,-879.2977485118312,51.13740682432856,17.53,30.0
02a58233o0346o,58233.39308255,>19.58,0.00,3.0,o,100.14,7961.71,-8996.8,1607.8,224.0,-324.8,23.2,7.67,145.5,178.2,2.31,2.12,1.0,3.0,197.44875,-23.3838889,22.215,-0.425,-370.2052784197785,26.443234172841322,18.94,30.0
02a58233o0359o,58233.39905455,19.11,0.28,3.43,o,9905.60,7963.20,1240.2,1155.6,324.0,76.9,22.4,10.30,176.6,182.4,2.24,2.05,1.0,3.0,197.44875,-23.3838889,22.214,-0.429,82.56708732116412,24.05075105323896,19.0,30.0
02a58233o0362o,58233.40042345,>19.56,0.00,3.0,o,84.38,7923.81,-17091.0,1670.5,385.0,-499.1,24.4,16.92,114.6,169.4,2.28,2.07,1.0,3.0,197.44875,-23.3838889,22.212,-0.438,-556.3799967167905,27.200304387677196,18.97,30.0
02a58233o0386o,58233.41138235,17.61,0.07,15.58,o,157.05,7886.67,-9679.8,1205.0,878.0,299.2,19.2,23.77,128.2,194.6,2.25,2.09,1.0,3.0,197.44875,-23.3838889,22.216,-0.433,329.5862906862556,21.14992239697897,18.97,30.0
02a58233o0392o,58233.41412845,>19.79,0.00,3.0,o,138.20,8002.77,-5935.3,1098.0,392.0,-136.3,19.5,14.50,153.5,190.8,2.27,2.10,1.0,3.0,197.44875,-23.3838889,22.215,-0.427,-151.50248384391827,21.674970175762333,18.97,30.0
02a58233o0396o,58233.41595285,19.00,0.25,3.90,o,9888.84,7927.53,-2801.8,991.1,828.0,79.6,20.4,14.99,168.4,182.5,2.31,2.13,1.0,3.0,197.44875,-23.3838889,22.217,-0.426,91.071690121272,23.339980885351114,18.99,30.0
02a58233o0404o,58233.41960405,>19.77,0.00,3.0,o,9943.85,8005.10,-2633.2,1192.6,412.0,-65.6,19.4,9.76,175.9,185.9,2.31,2.12,1.0,3.0,197.44875,-23.3838889,22.218,-0.423,-74.42698485969584,22.010419303019805,19.02,30.0
02a58233o0425o,58233.42956705,19.49,0.35,2.59,o,9960.54,7882.88,2275.2,1310.8,81.0,52.9,20.4,8.55,182.9,183.6,2.27,2.08,1.0,3.0,197.44875,-23.3838889,22.217,-0.427,58.133116966633935,22.418064009817243,18.96,30.0
02a58245o0299o,58245.36382795,>21.30,0.00,3.0,o,331.52,8320.08,-10262.2,611.4,152.0,-1492.3,4.6,221.19,136.6,182.2,2.17,1.97,1.0,3.0,197.44875,-23.3838889,22.037,-0.439,-1771.9882765601824,5.462136348037819,19.43,30.0
02a58245o0331o,58245.37842215,>20.21,0.00,3.0,o,315.42,8282.41,-9671.4,563.3,540.0,-72.2,10.6,45.87,126.7,182.1,2.29,2.08,1.0,3.0,197.44875,-23.3838889,21.970,-0.425,-100.30319341713069,14.725953604177082,19.27,30.0
02a58245o0336o,58245.38076295,>20.70,0.00,3.0,o,10143.00,8335.12,-5409.6,570.5,-58.0,-339.3,7.2,53.53,158.0,184.5,2.23,2.02,1.0,3.0,197.44875,-23.3838889,21.981,-0.434,-444.9578134957417,9.442075617946774,19.27,30.0
